"","L","X","V","L_3","X_3","V_3","Porcentaje 1","Porcentaje 2","Rank1","Rank2","Tendencia_L","Tendencia_V","Victoria"
"351",3,0,2,1,1,1,42,30,19,8,60,35,"X"
"352",2,0,0,2,0,0,57,18,2,13,100,30,"1"
"353",1,2,2,1,1,1,35,33,20,9,15,40,"1"
"354",3,0,2,2,0,1,38,32,4,3,85,50,"2"
"355",2,1,2,1,1,1,52,20,17,21,25,40,"1"
"356",3,1,1,2,0,1,40,30,20,8,40,75,"1"
"357",0,3,2,0,2,1,45,26,13,15,30,50,"1"
"358",1,2,2,1,1,1,79,7,4,16,70,40,"1"
"359",0,0,5,0,0,3,34,39,6,3,60,60,"2"
"360",1,2,2,1,1,1,29,43,18,5,35,90,"X"
"361",3,1,1,2,0,1,38,29,17,7,50,90,"1"
"362",1,1,3,0,1,2,20,57,12,2,100,60,"2"
"363",1,0,4,1,0,2,40,29,17,12,25,55,"X"
"364",1,2,2,1,1,1,41,30,15,8,50,65,"X"
"365",0,4,0,0,3,0,48,24,5,1,40,100,"1"
"366",1,2,2,0,2,1,48,24,21,22,45,30,"1"
"367",2,1,0,2,1,0,34,36,6,7,60,50,"X"
"368",2,2,1,2,1,0,55,20,3,8,75,90,"1"
"369",4,0,1,2,0,1,71,11,4,1,70,50,"1"
"370",2,1,2,1,1,1,81,7,1,18,100,50,"1"
"371",1,2,2,0,1,2,33,37,17,13,60,95,"2"
"372",1,0,4,1,0,2,40,29,12,5,60,90,"1"
"373",5,0,0,3,0,0,77,8,2,9,50,50,"1"
"374",4,0,1,2,0,1,60,17,7,16,55,75,"1"
"375",2,0,3,1,0,2,34,37,19,14,15,40,"X"
"376",2,1,2,1,1,1,45,24,11,5,80,90,"2"
"377",3,1,0,2,1,0,53,22,3,15,90,60,"1"
"378",1,1,3,0,1,2,39,30,6,2,100,NA,"X"
"379",3,0,2,2,0,1,55,21,17,13,5,80,"1"
"380",3,1,0,2,1,0,53,20,20,19,45,20,"X"
"381",2,2,1,2,1,0,46,26,6,7,55,45,"1"
"382",2,3,0,2,1,0,57,16,8,12,75,15,"2"
"383",1,3,1,0,2,1,30,43,14,3,25,20,"2"
"384",2,0,3,1,0,2,45,26,15,16,60,NA,"X"
"385",2,1,2,1,0,2,40,30,13,17,20,75,"2"
"386",3,0,2,2,0,1,45,24,11,10,80,55,"1"
"387",1,1,3,1,0,2,30,44,5,4,65,55,"2"
"388",1,2,2,0,2,1,41,29,19,3,65,35,"X"
"389",3,1,1,2,1,0,29,45,21,1,25,60,"2"
"390",0,1,1,0,1,1,42,29,18,18,30,30,"1"
"391",2,2,1,1,1,1,51,22,9,22,70,10,"1"
"392",3,0,2,1,0,2,48,27,5,16,70,45,"1"
